Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1872.02308013,OUT049
FDW14,1108.18190916,OUT017
NCN55,1821.15757782,OUT010
FDQ58,1888.99242664,OUT017
FDY38,4864.8528691,OUT027
FDH56,2101.98068439,OUT046
FDL48,1434.28896292,OUT018
FDC48,2629.47772092,OUT027
FDN33,1507.93716864,OUT045
FDA36,2785.50919108,OUT017
FDT44,1606.21699999,OUT017
FDQ56,1396.18840178,OUT045
NCC54,2239.41638674,OUT019
FDU11,2209.43608541,OUT049
DRL59,848.121011963,OUT013
FDM24,2516.13309156,OUT049
FDI57,3019.76089662,OUT045
DRC12,3463.24954692,OUT018
NCM42,3034.32934512,OUT027
FDA46,1249.65087178,OUT010
FDA31,2569.05403892,OUT013
NCJ31,3576.16441497,OUT035
FDG52,878.962773066,OUT046
NCL19,595.893926381,OUT019
FDS10,2688.77150857,OUT035
FDX22,1759.73467909,OUT010
NCF19,910.970130581,OUT035
NCE06,2683.75987964,OUT046
DRC27,3963.64445032,OUT046
FDE21,1844.87215573,OUT035
NCR42,-924.289843568,OUT019
FDX51,3623.77081269,OUT018
NCR06,1246.5246084,OUT018
FDU31,4746.31179142,OUT027
FDU59,2296.06780921,OUT017
FDR03,4262.98771581,OUT027
FDS49,2452.89278217,OUT027
FDD48,181.750917721,OUT010
NCF18,2846.3251587,OUT017
NCD43,2915.47386321,OUT027
NCD54,2804.15519884,OUT018
FDY19,200.775349551,OUT010
NCY54,2455.36649169,OUT017
NCL19,2721.19781973,OUT018
FDP23,1645.99504018,OUT010
FDC26,1627.42073387,OUT013
FDR14,-748.645070785,OUT010
NCS41,2687.47631586,OUT035
FDF41,3805.38032915,OUT035
FDU34,2008.48580563,OUT046
DRH11,1185.38559728,OUT046
FDM03,1087.00960472,OUT013
FDS31,2298.95498026,OUT017
FDJ20,1859.56811256,OUT017
FDV44,4166.08313471,OUT027
FDG02,3194.35692356,OUT049
FDA09,2578.51560961,OUT013
FDT04,302.972728053,OUT013
FDL58,2498.86256623,OUT019
FDE52,1326.0601823,OUT045
FDW12,2306.88556354,OUT035
FDL51,3211.48998484,OUT017
NCY42,3519.58858995,OUT027
FDR07,1447.21170897,OUT017
FDN40,2160.6509172,OUT045
FDB35,2835.43197614,OUT027
FDA22,2283.98252168,OUT017
NCL06,4123.13007197,OUT046
FDI35,2627.38067466,OUT013
NCW42,3399.37437604,OUT045
NCX06,3108.16132676,OUT049
FDC37,3068.06219392,OUT027
FDZ14,2543.03552365,OUT018
DRG49,4069.53415696,OUT049
NCG06,3886.4467528,OUT045
DRC36,2786.91463854,OUT045
FDV21,277.271619853,OUT019
FDB53,2281.95551501,OUT046
DRP47,2225.54358571,OUT019
FDA14,2042.3887091,OUT013
DRC24,2443.42875486,OUT035
FDW21,2021.51741218,OUT018
NCH29,1604.1308994,OUT046
FDU58,2758.75218447,OUT013
FDY27,2375.64558049,OUT017
FDV56,1821.59369252,OUT035
FDT59,3661.45031504,OUT046
FDB23,3641.98707896,OUT046
FDR49,668.89947276,OUT045
FDB03,2072.79054689,OUT010
FDN39,2589.52615472,OUT045
FDX02,4605.50338156,OUT027
FDQ16,2998.57882169,OUT027
FDU35,1843.08506797,OUT018
NCT29,1833.66608334,OUT013
FDZ27,780.49233891,OUT046
FDN57,2055.50765936,OUT017
FDA03,2748.74176294,OUT018
FDZ36,2925.92928537,OUT045
NCU05,1215.02252427,OUT013
FDT39,3051.19889519,OUT018
FDK60,1187.54369158,OUT017
FDZ25,2321.44571698,OUT017
FDG12,1748.42634123,OUT046
DRB01,1260.04515615,OUT019
NCC43,4955.67395352,OUT027
FDX13,2263.59036107,OUT019
FDM22,1172.83585241,OUT049
FDJ03,2153.99430632,OUT027
FDU14,4291.91582046,OUT018
FDB33,988.365540585,OUT010
FDP27,3096.48346988,OUT046
FDO38,-425.979133094,OUT010
FDE28,4668.15314908,OUT027
FDO27,1473.21852002,OUT035
DRL23,3036.58673069,OUT027
FDS28,1131.23312902,OUT046
FDX24,1269.82855818,OUT013
FDZ02,1623.7958299,OUT035
FDL46,1857.43498991,OUT045
FDS60,4053.3079775,OUT027
NCO06,418.949470458,OUT017
FDO16,1416.66109759,OUT035
FDC60,1728.18226623,OUT049
FDA48,3795.67428032,OUT018
FDZ36,4105.91295573,OUT027
FDK27,1993.52917693,OUT045
FDW23,1233.72578413,OUT018
FDM14,2243.38407131,OUT018
FDM14,1569.38532016,OUT013
FDW60,3297.37251492,OUT018
FDE21,1731.39221503,OUT013
NCM42,1769.80254802,OUT035
FDY59,-321.514496522,OUT010
DRI49,1416.85002616,OUT049
FDT28,876.367779283,OUT019
FDQ22,1187.65087764,OUT018
FDR60,1356.54980752,OUT049
FDC50,-126.716516131,OUT019
FDV24,1954.2912207,OUT013
DRF48,1957.24462533,OUT010
FDQ47,837.828214944,OUT046
DRN36,1717.8305803,OUT049
NCY06,2023.47679626,OUT035
FDE52,1282.62171572,OUT035
NCB54,2054.81335555,OUT045
NCF31,2397.21423558,OUT035
