Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility_MeanRatio,Item_Type_Combined,Outlet
0,FDA15,249.8092,3735.138,0.016047301,9.3,OUT049,0,1,1,0.931077954376,1,9
2,DRC01,48.2692,443.4228,0.019278216,5.92,OUT018,2,1,2,0.933419520876,0,3
0,FDN15,141.618,2097.27,0.016760075,17.5,OUT049,0,1,1,0.960068753905,1,9
2,FDX07,182.095,732.38,0.0178343378889,19.2,OUT010,2,2,0,1.0,1,0
1,NCD19,53.8614,994.7052,0.00977982855556,8.93,OUT013,2,0,1,1.0,2,1
2,FDP36,51.4008,556.6088,0.057058688875,10.395,OUT018,2,1,2,1.0,1,3
2,FDO10,57.6588,343.5528,0.012741089,13.65,OUT013,2,0,1,1.49719747765,1,1
0,FDP10,107.7622,4022.7636,0.127469857,19.0,OUT027,2,1,3,0.87049288164,1,5
2,FDH17,96.9726,1076.5986,0.016687114,16.2,OUT045,1,2,1,0.924160361929,1,7
2,FDU28,187.8214,4710.535,0.09444959,19.2,OUT017,1,2,1,0.96398303983,1,2
0,FDY07,45.5402,1516.0266,0.0406265244444,11.8,OUT049,0,1,1,1.0,1,9
2,FDA03,144.1102,2187.153,0.045463773,18.5,OUT046,0,2,1,1.03669520716,1,8
2,FDX32,145.4786,1589.2646,0.1000135,15.1,OUT049,0,1,1,1.02635981312,1,9
2,FDS46,119.6782,2145.2076,0.047257328,17.6,OUT046,0,2,1,0.922289906298,1,8
0,FDF32,196.4426,1977.426,0.0680243,16.35,OUT013,2,0,1,1.17133136537,1,1
2,FDP49,56.3614,1547.3192,0.069088961,9.0,OUT046,0,2,1,1.02807251244,1,8
1,NCB42,115.3492,1621.8888,0.008596051,11.8,OUT018,2,1,2,1.00313954792,2,3
2,FDP49,54.3614,718.3982,0.069196376,9.0,OUT049,0,1,1,1.02967089238,1,9
0,DRI11,113.2834,2303.668,0.034237682,8.26,OUT027,2,1,3,0.870492869311,0,5
0,FDU02,230.5352,2748.4224,0.10249212,13.35,OUT035,1,2,1,0.922115518306,1,6
2,FDN22,250.8724,3775.086,0.138190277,18.85,OUT013,2,0,1,1.13990449411,1,1
2,FDW12,144.5444,4064.0432,0.035399923,8.315,OUT027,2,1,3,0.954309078118,1,5
1,NCB30,196.5084,1587.2672,0.025698134,14.6,OUT035,1,2,1,0.862894394737,2,6
0,FDC37,107.6938,214.3876,0.057556998,15.5,OUT019,0,2,0,1.53153718751,1,4
2,FDR28,165.021,4078.025,0.025896485,13.85,OUT046,0,2,1,0.929632615444,1,8
1,NCD06,45.906,838.908,0.099887103,13.0,OUT017,1,2,1,0.927506767217,2,2
2,FDV10,42.3112,1065.28,0.066693437,7.645,OUT035,1,2,1,1.06023510294,1,6
0,DRJ59,39.1164,308.9312,0.019356132,11.65,OUT013,2,0,1,1.03527757803,0,1
2,FDE51,45.5086,178.4344,0.161466534,5.925,OUT010,2,2,0,1.44458144,1,0
2,FDC14,43.6454,125.8362,0.072221801,14.5,OUT019,0,2,0,1.67900268128,1,4
0,FDV38,55.7956,163.7868,0.170348551,19.25,OUT010,2,2,0,1.46411666754,1,0
1,NCS17,96.4436,2741.7644,0.080829372,18.6,OUT018,2,1,2,1.00313954058,2,3
0,FDP33,256.6672,3068.0064,0.0930934742,18.7,OUT018,2,1,2,1.0,1,3
0,FDO23,93.1436,2174.5028,0.142462290667,17.85,OUT045,1,2,1,1.0,1,7
0,DRH01,174.8738,2085.2856,0.097904029,17.5,OUT046,0,2,1,0.922289919999,0,8
1,NCX29,146.7102,3791.0652,0.089291137,10.0,OUT049,0,1,1,0.8760887635,2,9
2,FDV20,128.0678,2797.6916,0.059511812,20.2,OUT027,2,1,3,0.954453963177,1,5
2,DRZ11,122.5388,1609.9044,0.113123893,8.85,OUT018,2,1,2,1.00313953491,0,3
2,FDX10,36.9874,388.1614,0.123111453,6.385,OUT027,2,1,3,1.02279974269,1,5
0,FDB34,87.6198,2180.495,0.026480954,15.25,OUT027,2,1,3,0.925130829076,1,5
0,FDU02,230.6352,3435.528,0.102511504,13.35,OUT046,0,2,1,0.922289915004,1,8
0,FDK43,126.002,2150.534,0.02681843,9.8,OUT013,2,0,1,0.921522416053,1,1
0,FDA46,192.9136,2527.3768,0.117818348,13.6,OUT049,0,1,1,0.931077936469,1,9
0,FDC02,259.9278,6768.5228,0.069102831,21.35,OUT018,2,1,2,0.933419537702,1,3
2,FDL50,126.5046,373.5138,0.042277867,12.15,OUT013,2,0,1,0.998078790256,1,1
0,FDM39,178.1002,358.2004,0.089498926,6.42,OUT010,2,2,0,1.46411666766,1,0
1,NCP05,153.3024,2428.8384,0.0187569537778,19.6,OUT045,1,2,1,1.0,2,7
0,FDV49,265.2226,5815.0972,0.025879577,10.0,OUT045,1,2,1,0.924160346012,1,7
2,FDL12,60.622,2576.646,0.121632721,15.85,OUT046,0,2,1,0.874728791508,1,8
2,FDS02,196.8794,780.3176,0.255394896,10.195,OUT019,0,2,0,2.03088772479,1,4
1,NCL17,143.8812,3134.5864,0.067779712,7.39,OUT046,0,2,1,0.874728788722,2,8
0,FDM40,141.5154,850.8924,0.159803853,10.195,OUT013,2,0,1,1.03653042765,1,1
2,FDR13,117.0492,810.9444,0.028696932,9.895,OUT013,2,0,1,0.874000875934,1,1
0,FDA43,196.3794,3121.2704,0.065041581,10.895,OUT017,1,2,1,0.879676609958,1,2
1,NCP18,151.4708,4815.0656,0.028760013,12.15,OUT017,1,2,1,0.927506764796,2,2
0,FDK21,249.0408,6258.52,0.010053105,7.905,OUT018,2,1,2,0.933419562434,1,3
1,NCX54,106.1622,2117.244,0.048157338,9.195,OUT045,1,2,1,0.931517929829,2,7
0,DRK35,38.0506,796.9626,0.071958197,8.365,OUT049,0,1,1,0.876088761752,0,9
0,FDY21,194.511,4910.275,0.173481304,15.1,OUT046,0,2,1,1.14166302323,1,8
0,FDI26,180.0344,892.172,0.061082177,5.94,OUT019,0,2,0,1.61481058875,1,4
0,FDM20,246.9144,3185.1872,0.0364918673,10.0,OUT018,2,1,2,1.0,1,3
2,FDV27,87.3514,1062.6168,0.040071131,7.97,OUT045,1,2,1,0.850393643471,1,7
0,FDF09,38.2848,484.7024,0.012090074,6.215,OUT027,2,1,3,0.925130853649,1,5
2,FDY40,51.0692,147.8076,0.15028599,15.5,OUT019,0,2,0,1.85699204989,1,4
